92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,わがそ,,,我が　ワガソ
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,よのなかは,,,世
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,みよ,,,ミヨ　みよしの
95,おほけなく　憂き世の民に　おほふかな,おおけなく　うきよのたみに　おほふかな,おほけ,おおけ,おおう　おお,オオケ　うき世　ナク
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,はなさ,,,ハナサ　嵐の　にわの
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,こぬ,,,コヌ　ヒト　まつ
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,かぜそ,,,カゼソ　ソヨグ　奈良
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,ひとも,,あじき,ヒトも
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,もも,,,モモ　古きの　シキヤ　桃
0,難波津に咲くやこの花 冬ごもり今は春べと咲くやこの花,なにわづに　さくやこのはな　ふゆごもり　いまははるべと　さくやこのはな,なにわづ,,,
