札番号,元の漢字,元のひらがな,単語数(元システム),満点スコア(元システム),決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,25,60,ゆら,,由良 由良の 門を の門を,渡る 渡る舟 舟人 る舟人,かぢ かぢを 絶え を絶え,,,のと のとを とを,わた るふ なび なびと たるふ びと,をた をたえ たえ,,
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,21,50,やへ,やえ,八重 八重む ぐら むぐら,しげ しげれ 宿の る宿の,さび さびし きに しきに,,,むぐ,れる やど やどの げれる どの,しき,,
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,22,53,かぜを,,風を 風をい たみ いたみ,岩う 岩うつ 波の つ波の,おの おのれ のみ れのみ,,,かぜ をい,いは うつ なみ なみの はうつ みの,れの,,
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,26,62,みかき,,御垣 御垣守 垣守,衛士 衛士の 火の く火の,夜は 夜は燃 燃え は燃え,,,みか きも きもり もり,ゑじ のた くひ くひの じのた ひの,よる はも はもえ もえ,,
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,21,53,きみがためを,,君が 君がた ため がため,惜し 惜しか りし ざりし,命さ 命さへ さへ,,,きみ がた,をし から ざり しから,いの ちさ ちさへ,,
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,21,51,かく,,かくと だに とだに,えや えやは 吹の 伊吹の,さし さしも も草 しも草,,,とだ,はい ぶき ぶきの やはい きの,もぐ もぐさ ぐさ,,
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,20,47,あけ,,明け 明けぬ れば ぬれば,暮る 暮るる とは のとは,知り 知りな がら ながら,,,ぬれ,くる るも のと るるも,しり なが,,
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,24,58,なげき,,嘆き 嘆きつ つつ きつつ,ひと ひとり 夜の る夜の,明く 明くる 間は る間は,,,なげ きつ,りね るよ るよの とりね よの,あく るま るまは まは,,
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,19,46,わすれ,,忘れ 忘れじ じの れじの,ゆく ゆく末 では までは,かた かたけ れば ければ,,,わす れじ,すゑ まで くすゑ,けれ,,
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,22,53,たき,,滝の 滝の音 音は の音は,絶え 絶えて しく 久しく,なり なりぬ れど ぬれど,,,のお おとは とは,たえ てひ さし さしく えてひ,ぬれ,,
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,20,48,あらざ,,あら らむ ざらむ,この この世 かの ほかの,思ひ 思ひ出 出に ひ出に,,,ざら,よの ほか のよの,おも ひで ひでに でに,,
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,22,52,め,,めぐ めぐり ひて 逢ひて,見し 見しや とも れとも,わか わかぬ 間に ぬ間に,,,りあ あひて,みし やそ れと しやそ,ぬま ぬまに まに,,
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,25,60,ありま,,有馬 有馬山 馬山,猪名 猪名の 笹原 の笹原,風吹 風吹け けば 吹けば,,,あり まや まやま やま,ゐな のさ さは さはら なのさ はら,かぜ ふけ ふけば,,
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,20,48,やす,,やすら はで らはで,寝な 寝なま のを ものを,さ夜 さ夜更 けて 更けて,,,らは,ねな まし もの なまし,さよ ふけ ふけて,,
60,大江山　いく野の道の　遠ければ,おほえやま　いくののみちの　とほければ,24,58,おほえ,おおえ,大江 大江山 江山,いく いく野 道の の道の,遠け 遠けれ れば ければ,,,おほ えや えやま やま,のの みち みちの くのの ちの,とほ けれ,,
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,22,52,いに,,いにし への しへの,奈良 奈良の 都の の都の,八重 八重桜 重桜,,,しへ,なら のみ やこ やこの らのみ この,やへ ざく ざくら くら,,
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,23,54,よを,よお,夜を 夜をこ めて こめて,鳥の 鳥の空 音は 空音は,謀る 謀ると とも るとも,,,こめ,とり のそ らね らねは りのそ ねは,はか ると,,
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,20,48,いまは,,今は 今はた ただ はただ,思ひ 思ひ絶 なむ えなむ,とば とばか りを かりを,,,いま はた,おも ひた えな もひた,かり,,
