札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,13,32,えやわ えや えやは 吹の 伊吹の はい ぶき ぶきの やはい きの さし さしも も草
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,13,31,しり もの とは くるる 暮る 暮るる のとは くる るも のと るるも 知り 知りな
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,13,32,ひと ひとり 夜の る夜の りね るよ るよの とりね よの 明く 明くる 間は る間は
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,13,31,行く末 すえ 行く ゆく ゆく末 では までは すゑ まで くすゑ かた かたけ れば
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,13,32,絶え 絶えて しく 久しく たえ てひ さし さしく えてひ なり なりぬ れど ぬれど
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,13,33,他の 思い出 おもいで この この世 かの ほかの よの ほか のよの 思ひ 思ひ出 出に
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,13,31,見し 見しや とも れとも みし やそ れと しやそ わか わかぬ 間に ぬ間に ぬま
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,13,31,猪名 猪名の 笹原 の笹原 ゐな のさ さは さはら なのさ はら 風吹 風吹け けば
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,13,32,夜更け らわで 寝な 寝なま のを ものを ねな まし もの なまし さ夜 さ夜更 けて
60,大江山　いく野の道の　遠ければ,おほえやま　いくののみちの　とおければ,13,32,いく いく野 道の の道の のの みち みちの くのの ちの 遠け 遠けれ れば ければ
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,13,31,奈良 奈良の 都の の都の なら のみ やこ やこの らのみ この 八重 八重桜 重桜
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,13,31,鳥の 鳥の空 音は 空音は とり のそ らね らねは りのそ ねは 謀る 謀ると とも
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,13,32,おもい ばかり 思ひ 思ひ絶 なむ えなむ おも ひた えな もひた とば とばか りを
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,13,31,宇治 宇治の 川霧 の川霧 うぢ のか はぎ はぎり ぢのか ぎり たえ たえだ えに
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,13,32,干さぬ 袖だ もの ほさ ほさぬ だに 袖だに ぬそ でだ でだに さぬそ ある あるも
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,13,32,あわれ 思え と思え あは あはれ 思へ と思へ れと おも おもへ はれと もへ 山桜
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,13,30,夢ば 夢ばか なる りなる ゆめ ばか りな めばか 手枕 手枕に 枕に たま くら
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,13,32,あら あらで 夜に き夜に でう きよ きよに らでう よに 長ら 長らへ へば らへば
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,13,31,三室 三室の 山の の山の みむ ろの やま やまの むろの まの もみ もみぢ 葉は
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,13,31,眺む 宿を 宿を立 でて 出でて やど をた ちい いでて どをた なが ながむ れば
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,13,31,門田 門田の 稲葉 の稲葉 かど たの いな いなば どたの なば 訪れ 訪れて れて
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,13,31,高師 高師の 浜の の浜の たか しの はま はまの かしの まの あだ あだ波 波は
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,13,31,尾の 尾の上 の桜 上の桜 をの への さく さくら のへの くら 咲き 咲きに けり
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,13,31,人を 人を初 瀬の 初瀬の ひと をは つせ つせの とをは せの 山お 山おろ しよ
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,13,31,させ させも 露を が露を もが つゆ つゆを せもが ゆを 命に 命にて にて いの
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,13,32,漕ぎ 漕ぎ出 れば 見れば こぎ いで てみ みれば ぎいで ひさ ひさか たの かたの
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,13,30,岩に 岩にせ るる かるる いは にせ かる はにせ 滝川 滝川の 川の たき がは
78,淡路島　通ふ千鳥の　鳴く声に,あはぢしま　かよふちどりの　なくこゑに,13,31,通ふ 通ふ千 鳥の 千鳥の かよ ふち どり どりの よふち りの 鳴く 鳴く声 声に
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,13,32,たな たなび 雲の く雲の びく くも くもの なびく もの 絶え 絶え間 より 間より
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,13,31,心も 心も知 らず 知らず ここ ろも しら しらず ころも 黒髪 黒髪の 髪の くろ
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,13,31,眺む 鳴き 鳴きつ 方を る方を なき つる かた かたを きつる たを なが ながむ
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,13,32,さて さても 命は も命は もい のち のちは てもい ちは ある あるも のを ものを
