札番号,元の漢字,元のひらがな,単語数,総文字数（満点スコア）,決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,21,51,おと,,音に 音に聞 聞く に聞く,高師 高師の 浜の の浜の,あだ だ波は,,,にき にきく きく,たか しの はま はまの かしの まの,なみは,,
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,20,47,たか,,高砂 高砂の 砂の,尾の 尾の上 の桜 上の桜,咲き にけり,,,さご さごの ごの,をの への さく さくら のへの くら,さき,,
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,19,45,うか,,憂か 憂かり ける りける,人を 人を初 瀬の 初瀬の,山お ろしよ,,,りけ,ひと をは つせ つせの とをは せの,やま,,
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,20,50,ちぎりお,,契り 契りお きし おきし,させ させも 露を が露を,命に 命にて,,,ちぎ りお,もが つゆ つゆを せもが ゆを,いの ちにて,,
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,19,50,わたのはらこ,,わた わたの の原 たの原,漕ぎ 漕ぎ出 れば 見れば,ひさ かたの,,,のは のはら はら,こぎ いで てみ みれば ぎいで,,,
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,19,44,せ,,瀬を 瀬をは やみ はやみ,岩に 岩にせ るる かるる,滝川 滝川の,,,せを はや,いは にせ かる はにせ,たき がはの,,
78,淡路島　通ふ千鳥の　鳴く声に,あはぢしま　かよふちどりの　なくこゑに,23,56,あはぢ,あわじ,淡路 淡路島 路島,通ふ 通ふ千 鳥の 千鳥の,鳴く く声に,,,あは ぢし ぢしま しま,かよ ふち どり どりの よふち りの,なく こゑに,,
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,21,51,あきか,,秋風 秋風に 風に,たな たなび 雲の く雲の,絶え 間より,,,あき かぜ かぜに ぜに,びく くも くもの なびく もの,たえ まより,,
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,20,49,ながか,,長か 長から らむ からむ,心も 心も知 らず 知らず,黒髪 黒髪の,,,なが から,ここ ろも しら しらず ころも,くろ かみの,,
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,18,42,ほ,,ほと ほとと ぎす とぎす,鳴き 鳴きつ 方を る方を,なが むれば,,,とぎ,なき つる かた かたを きつる たを,,,
82,思ひわび　さても命は　あるものを,おもひわび　さてもいのちは　あるものを,19,47,おもひ,おもい,思ひ 思ひわ わび ひわび,さて さても 命は も命は,ある ものを,,,おも ひわ,もい のち のちは てもい ちは,,,
83,世の中よ　道こそなけれ　思ひ入る,よのなかよ　みちこそなけれ　おもひいる,21,53,よのなかよ,,世の 世の中 中よ の中よ,道こ 道こそ けれ なけれ,思ひ ひ入る,,,よの なか なかよ かよ,みち こそ なけ ちこそ,おも ひいる,,
84,長らへば　またこのごろや　しのばれむ,ながらへば　またこのごろや　しのばれむ,16,39,ながら,,長ら 長らへ へば らへば,また またこ ろや ごろや,しの ばれむ,,,なが らへ,この ごろ たこの,,,
85,夜もすがら　物思ふころは　明けやらで,よもすがら　ものおもふころは　あけやらで,17,40,よも,,夜も 夜もす がら すがら,物思 物思ふ ろは ころは,明け やらで,,,すが,もの おも ふこ のおも,あけ,,
86,嘆けとて　月やは物を　思はする,なげけとて　つきやはものを　おもはする,20,48,なげけ,,嘆け 嘆けと とて けとて,月や 月やは 物を は物を,思は はする,,,なげ けと,つき やは もの ものを きやは のを,おも,,
87,村雨の　露もまだ干ぬ　真木の葉に,むらさめの　つゆもまだひぬ　まきのはに,22,51,む,,村雨 村雨の 雨の,露も 露もま 干ぬ だ干ぬ,真木 の葉に,,,むら さめ さめの めの,つゆ もま だひ だひぬ ゆもま ひぬ,まき のはに,,
88,難波江の　蘆のかりねの　ひとよゆゑ,なにはえの　あしのかりねの　ひとよゆゑ,19,47,なにはえ,,難波 難波江 江の 波江の,蘆の 蘆のか ねの りねの,ひと よゆゑ,,,なに はえ はえの えの,あし のか りね しのか,,,
89,玉の緒よ　絶えなば絶えね　ながらへば,たまのをよ　たえなばたえね　ながらへば,18,44,たま,,玉の 玉の緒 緒よ の緒よ,絶え 絶えな えね 絶えね,なが らへば,,,のを のをよ をよ,たえ なば たえね えなば,,,
90,見せばやな　雄島の海人の　袖だにも,みせばやな　をじまのあまの　そでだにも,18,43,みせ,,見せ 見せば やな ばやな,雄島 雄島の 人の 海人の,袖だ だにも,,,ばや,をじ まの あま あまの じまの,そで,,
91,きりぎりす　鳴くや霜夜の　さむしろに,きりぎりす　なくやしもよの　さむしろに,17,41,きり,,きりぎ りす ぎりす,鳴く 鳴くや 夜の 霜夜の,さむ しろに,,,ぎり,なく やし もよ もよの くやし よの,,,
92,わが袖は　潮干に見えぬ　沖の石の,わがそでは　しほひにみえぬ　おきのいしの,21,52,わがそ,,わが わが袖 袖は が袖は,潮干 潮干に えぬ 見えぬ,沖の の石の,,,そで そでは では,しほ ひに みえ みえぬ ほひに,おき いしの,,
93,世の中は　常にもがもな　渚漕ぐ,よのなかは　つねにもがもな　なぎさこぐ,21,53,よのなかは,,世の 世の中 中は の中は,常に 常にも もな がもな,渚漕 渚漕ぐ,,,よの なか なかは かは,つね にも がも ねにも,なぎ さこぐ,,
94,み吉野の　山の秋風　さよ更けて,みよしのの　やまのあきかぜ　さよふけて,21,51,みよ,,み吉 み吉野 野の 吉野の,山の 山の秋 秋風 の秋風,さよ 更けて,,,しの しのの のの,やま のあ きか きかぜ まのあ かぜ,ふけて,,
95,おほけなく　憂き世の民に　おほふかな,おほけなく　うきよのたみに　おほふかな,17,42,おほけ,おおけ,おほ なく けなく,憂き 憂き世 民に の民に,ふかな,,,けな,うき よの たみ たみに きよの みに,,,
96,花さそふ　嵐の庭の　雪ならで,はなさそふ　あらしのにはの　ゆきならで,20,48,はなさ,,花さ 花さそ そふ さそふ,嵐の 嵐の庭 庭の の庭の,雪な ならで,,,はな さそ,あら しの には にはの らしの はの,ゆき,,
97,来ぬ人を　松帆の浦の　夕なぎに,こぬひとを　まつほのうらの　ゆふなぎに,21,50,こぬ,,来ぬ 来ぬ人 人を ぬ人を,松帆 松帆の 浦の の浦の,夕な なぎに,,,ひと ひとを とを,まつ ほの うら うらの つほの らの,ゆふ,,
98,風そよぐ　楢の小川の　夕暮は,かぜそよぐ　ならのをがはの　ゆふぐれは,21,51,かぜそ,,風そ 風そよ よぐ そよぐ,楢の 楢の小 川の 小川の,夕暮 夕暮は,,,かぜ そよ,なら のを がは がはの らのを はの,ゆふ ぐれは,,
99,人も惜し　人も恨めし　あぢきなく,ひともをし　ひともうらめし　あぢきなく,18,45,ひとも,,人も 人も惜 惜し も惜し,人も恨 めし 恨めし,あぢ きなく,,,ひと もを もをし をし,もう らめ らめし ともう,,,
100,百敷や　古き軒端の　しのぶにも,ももしきや　ふるきのきばの　しのぶにも,19,45,もも,,百敷 百敷や 敷や,古き 古き軒 端の 軒端の,しの ぶにも,,,しき しきや きや,ふる きの きば きばの るきの ばの,,,
0,難波津に 咲くやこの花 冬ごもり 今は春べと 咲くやこの花,なにわづに　さくやこのはな　ふゆごもり　いまははるべと　さくやこのはな,26,64,なにわづ,,難波 難波津 津に 波津に,咲く 咲くや の花 この花,冬ご ごもり,今は 春べと,,なに わづ わづに づに,さく やこ のは のはな くやこ はな,ふゆ,いま るべと,
